(0.02, 0.02) 0.8267051259818261 3.141921468087022 0.8269996604758394 3.142216082777204
(0.04, 0.04) 0.8301937453324025 3.14623470289869 0.8307839331796285 3.14682497070653
(0.06, 0.06) 0.8336831651819552 3.150548491327006 0.8345695926252497 3.1514349984956618
(0.08, 0.08) 0.8371737823126157 3.154863978920563 0.8383565100210536 3.1560467861191523
(0.1, 0.1) 0.8401206548197668 3.1583984501337206 0.8416523866397257 3.1599302611190305
(0.12, 0.12) 0.8430788487785482 3.1620330944103885 0.8449601074452792 3.1639144319135655
(0.14, 0.14) 0.8460538218718242 3.1656456750936592 0.8482834691032792 3.1678754008305434
(0.16, 0.16) 0.8490383819385174 3.169252123708244 0.8516165696069182 3.1718303895508613
(0.18, 0.18) 0.8520745834255521 3.1728683489291947 0.8550033160973683 3.1757971594420966
(0.2, 0.2) 0.8551114691935267 3.176484187380845 0.8583910550324246 3.179763850727367
