(0.02, 0.02) 9.963093546849827 1.155415881863199 1.155415881863199 0.0
(0.04, 0.04) 9.959559610043256 1.1695928057495422 1.1695928057495422 0.0
(0.06, 0.06) 9.95604133114149 1.1837696992159379 1.183769699215939 0.0
(0.08, 0.08) 9.952534513086517 1.1979302830585525 1.1979302830585525 0.0
(0.1, 0.1) 9.948451889699134 1.212245402582607 1.2122454025826077 0.0
(0.12, 0.12) 9.944117957420014 1.2266387742947429 1.2266387742947429 0.0
(0.14, 0.14) 9.940217438610016 1.2410327318877987 1.2410327318877987 0.0
(0.16, 0.16) 9.93631567559858 1.2554267360443816 1.2554267360444358 0.0
(0.18, 0.18) 9.932416050644692 1.269848046964962 1.269848046964962 0.0
(0.2, 0.2) 9.9285243635279 1.284307943189374 1.284307943189374 0.0
