(0.02, 0.02) 1.3475809779067336 3.89970004780352 1.3478901866642694 3.900009341681858
(0.04, 0.04) 1.3501373101754748 3.9036668791848492 1.3507545076956835 3.9042841616245068
(0.06, 0.06) 1.3527088517182673 3.907657999120884 1.3536351358804395 3.9085843680001036
(0.08, 0.08) 1.3552820524694356 3.9116549911483425 1.3565178360916224 3.912890859284944
(0.1, 0.1) 1.3578548973588085 3.915652706275369 1.3594005216984477 3.9171984149269132
(0.12, 0.12) 1.3604346117202115 3.919648985095672 1.3622905027107088 3.9215049601954473
(0.14, 0.14) 1.3630107316820372 3.9236449417708723 1.3651762986090117 3.9258105926047113
(0.16, 0.16) 1.3655727952332128 3.9276398834585367 1.368045814839939 3.9301129867704367
(0.18, 0.18) 1.3681344789135248 3.931634764413894 1.3709149553194324 3.934415324323262
(0.2, 0.2) 1.370691467234522 3.9356288906930446 1.3737794502872298 3.9387169570475162
