(0.02, 0.02) 1.3612255643774103 3.9058897928599445 1.3612255643774096 3.90588987778039
(0.04, 0.04) 1.3765394846928263 3.918571455253056 1.3765394846928254 3.918571539757035
(0.06, 0.06) 1.3919006384982011 3.9319329273963506 1.3919006384982018 3.931933011479039
(0.08, 0.08) 1.4071735338378715 3.945413699113361 1.407173533837871 3.9454137827716154
(0.1, 0.1) 1.422385148647621 3.9592249655120066 1.4223851486476213 3.9592250487432694
(0.12, 0.12) 1.4374695976391914 3.9733685943488566 1.4374695976391922 3.973368677151792
(0.14, 0.14) 1.452509278005456 3.9875047343766914 1.4525092780054556 3.9875048167533977
(0.16, 0.16) 1.4680067427161165 4.001444759816948 1.4680067427161154 4.001444841764666
(0.18, 0.18) 1.4855699766629165 4.0147391517078495 1.485569976662916 4.014739233209314
(0.2, 0.2) 1.503131738672748 4.0280339143885335 1.503131738672747 4.028033995443299
